Feature	Gain	Cover	Frequency	pos
Visa_Finiciomora	0.00397438307845791	0.0124981208565815	0.00439422473320778	50
numero_de_cliente	0.00386537096941026	0.00685192339631893	0.010593220338983	51
mactivos_margen_avg6	0.00380964376389238	0.0134648509516381	0.00847457627118644	52
mcuenta_corriente_delta2	0.00372115975620363	0.00694875139199835	0.00745448838669178	53
ccaja_ahorro_rank	0.00370520631530681	0.00675426676169075	0.010593220338983	54
mrentabilidad_avg6	0.00366245197397229	0.00533717139798194	0.00674827369742624	55
mv_fechaalta_delta2	0.00358195958027372	0.00920930401949736	0.00455116133082235	56
mcuentas_saldo_min3	0.00358084047803347	0.0213827978953185	0.00839610797237916	57
mactivos_margen	0.0035328270853208	0.00518591409950143	0.00478656622724419	58
Master_Fvencimiento_tend6	0.00350741646233954	0.00286234399145458	0.00784682988072819	59
mactivos_margen_min3	0.00347777959425746	0.00378654240219669	0.00659133709981168	60
chomebanking_trx_delta1	0.00345780023567297	0.0110575627344901	0.0091023226616447	61
cliente_edad_lag2	0.00340563099411501	0.00615712498294769	0.00855304456999372	62
mcuenta_corriente_rank	0.0033161352327332	0.00261008481221942	0.00486503452605148	63
mv_msaldototal	0.00330506067621088	0.00352127563748806	0.00337413684871312	64
Master_fechaalta_min3	0.0032992613021104	0.00640292384741565	0.00949466415568111	65
mrentabilidad_annual_tend6	0.00329135433397153	0.00789436142397204	0.008631512868801	66
mrentabilidad_delta2	0.00322862449118436	0.00257906711724847	0.00847457627118644	67
mcomisiones_mantenimiento_tend6	0.00322758276193576	0.00932043882468102	0.00753295668549906	68
mprestamos_personales_rank	0.0031655550807493	0.00368525407834863	0.0077683615819209	69
mcomisiones_mantenimiento_rank	0.00315195384829771	0.00611454726313599	0.00800376647834275	70
mcuenta_corriente_min3	0.00311384774218257	0.00396969207009406	0.00682674199623352	71
mrentabilidad_annual_delta1	0.00306703813322717	0.00331862737901859	0.00839610797237916	72
mcuentas_saldo_delta1	0.00305613492785672	0.00809775136545121	0.00800376647834275	73
mactivos_margen_tend6	0.00303509621069297	0.0078747400720742	0.0082391713747646	74
mv_mpagominimo_rank	0.00299653057973679	0.00367925923360821	0.00525737602008789	75
mdescubierto_preacordado_delta1	0.00299565140366235	0.00835789795986533	0.00235404896421846	76
ctrx_quarter_normalizado_tend6	0.00298933403095537	0.00496704600086823	0.00714061519146265	77
ctarjeta_visa_trx	0.00298710119596363	0.00497146540859496	0.00321720025109856	78
canarito11	0.00297961837064695	0.00456938114634628	0.00894538606403013	79
