fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220630 174320	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1210	TRUE	0.0100370239955664	0.204898470808386	11359	1894	0.0157284502244741	133173000	HT7310	212	1658475	110
20220630 181731	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	97	TRUE	0.0104650187461935	0.798160216449966	17	2014	0.0132232236553112	61862000	HT7310	212	1658475	111
20220630 185332	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	908	TRUE	0.0145936842967937	0.874796964743497	19753	590	0.0148144055870732	133593000	HT7310	212	1658475	112
20220630 191953	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	721	TRUE	0.0272222483652696	0.647948778556182	19998	211	0.014520433784402	133616000	HT7310	212	1658475	113
20220630 192842	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	195	TRUE	0.0737308634359545	0.870901697250738	19991	1407	0.014973081856726	132752000	HT7310	212	1658475	114
20220630 201330	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1416	TRUE	0.0212450366459587	0.583802750365774	9308	437	0.00833444072169766	127296000	HT7310	212	1658475	115
20220630 202456	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	292	TRUE	0.035561837635712	0.522698806287429	8965	393	0.0165772000485959	133389000	HT7310	212	1658475	116
20220630 204106	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	386	TRUE	0.029548975062585	0.608913799804531	19767	480	0.0164903657406187	133287000	HT7310	212	1658475	117
20220630 210053	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	496	TRUE	0.0299125536812737	0.666354575651093	19975	739	0.0151444199827738	133985000	HT7310	212	1658475	118
20220630 211825	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	414	TRUE	0.0363823458746303	0.631429804632044	15613	481	0.015393385154018	133011000	HT7310	212	1658475	119
20220630 213842	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	832	TRUE	0.0237995552942804	0.460042600060524	19989	2029	0.0149953977300502	133918000	HT7310	212	1658475	120
