fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220605 022659	0	0	0	1	auto	depthwise	256	0	1	0.0100753500246718	0.317247033771868	9	2	0.0141725415287711	1813	13700000	24
20220605 025412	0	0	0	1	auto	depthwise	256	0	1	0.0101321463371603	0.664713145856622	9	8	0.0160499238693227	339	13504000	25
20220605 030448	0	0	0	1	auto	depthwise	256	0	1	0.0155200896164969	0.467301453585711	8	2	0.0147733217238333	1016	13460000	26
20220605 030725	0	0	0	1	auto	depthwise	256	0	1	0.0595677752574715	0.200459157134185	9	8	0.0123009037330733	70	12825000	27
20220605 031222	0	0	0	1	auto	depthwise	256	0	1	0.0397328950351981	0.619542003424984	10	2	0.00835025957975027	362	11496000	28
20220605 034656	0	0	0	1	auto	depthwise	256	0	1	0.0101983126844945	0.72749379427331	8	14	0.0143014370379067	201	13441000	29
20220605 041422	0	0	0	1	auto	depthwise	256	0	1	0.0100151180646222	0.896692256441972	3	3	0.0160513698799444	992	13812000	30
20220605 044829	0	0	0	1	auto	depthwise	256	0	1	0.0122721663905333	0.999188946794534	3	9	0.0166936292450139	188	13106000	31
20220605 050915	0	0	0	1	auto	depthwise	256	0	1	0.0102351742441719	0.792838819340678	3	4	0.0118656476851675	439	13381000	32
20220605 052257	0	0	0	1	auto	depthwise	256	0	1	0.010026316156005	0.326375666716867	8	6	0.0137901374322932	405	13876000	33
20220605 053006	0	0	0	1	auto	depthwise	256	0	1	0.0401486835698285	0.799176553889472	8	4	0.016469139768294	170	14128000	34
20220605 053846	0	0	0	1	auto	depthwise	256	0	1	0.0100604646380232	0.254252632804432	6	2	0.0143525976669504	1089	13640000	35
20220605 060519	0	0	0	1	auto	depthwise	256	0	1	0.0100252313507894	0.789478298198946	6	2	0.0170530986969012	1844	13280000	36
20220605 061204	0	0	0	1	auto	depthwise	256	0	1	0.0637998191112264	0.866891846775134	8	7	0.0158185694710883	57	13144000	37
20220605 061928	0	0	0	1	auto	depthwise	256	0	1	0.0298802188564746	0.738438619045343	8	2	0.0172358159668902	483	13210000	38
20220605 063312	0	0	0	1	auto	depthwise	256	0	1	0.0100948419871433	0.276883059791389	7	4	0.0161428183871617	906	13950000	39
20220605 064138	0	0	0	1	auto	depthwise	256	0	1	0.0430372775217695	0.83352933915961	4	4	0.0156008739451761	212	13877000	40
